oil,emoji,physical,emotional,mantra,bg_hex,audio_cue
Роза,✨,Общее действие,Эмоциональное действие,«Мантра Роза»,#DDDDDD,звук
Гардения,✨,Общее действие,Эмоциональное действие,«Мантра Гардения»,#DDDDDD,звук
Гибискус,✨,Общее действие,Эмоциональное действие,«Мантра Гибискус»,#DDDDDD,звук
Камфора,✨,Общее действие,Эмоциональное действие,«Мантра Камфора»,#DDDDDD,звук
Эстрагон,✨,Общее действие,Эмоциональное действие,«Мантра Эстрагон»,#DDDDDD,звук
Сельдерей,✨,Общее действие,Эмоциональное действие,«Мантра Сельдерей»,#DDDDDD,звук
Майская роза,✨,Общее действие,Эмоциональное действие,«Мантра Майская роза»,#DDDDDD,звук
Белый чай,✨,Общее действие,Эмоциональное действие,«Мантра Белый чай»,#DDDDDD,звук
Зелёный чай,✨,Общее действие,Эмоциональное действие,«Мантра Зелёный чай»,#DDDDDD,звук
Чёрный чай,✨,Общее действие,Эмоциональное действие,«Мантра Чёрный чай»,#DDDDDD,звук
Какао,✨,Общее действие,Эмоциональное действие,«Мантра Какао»,#DDDDDD,звук
Ваниль,✨,Общее действие,Эмоциональное действие,«Мантра Ваниль»,#DDDDDD,звук
Кофе,✨,Общее действие,Эмоциональное действие,«Мантра Кофе»,#DDDDDD,звук
Мята садовая,✨,Общее действие,Эмоциональное действие,«Мантра Мята садовая»,#DDDDDD,звук
Мята колосовая,✨,Общее действие,Эмоциональное действие,«Мантра Мята колосовая»,#DDDDDD,звук
Мята кудрявая,✨,Общее действие,Эмоциональное действие,«Мантра Мята кудрявая»,#DDDDDD,звук
Мята японская,✨,Общее действие,Эмоциональное действие,«Мантра Мята японская»,#DDDDDD,звук
Мелисса индийская,✨,Общее действие,Эмоциональное действие,«Мантра Мелисса индийская»,#DDDDDD,звук
Мелисса лимонная,✨,Общее действие,Эмоциональное действие,«Мантра Мелисса лимонная»,#DDDDDD,звук
Эвкалипт голубой,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт голубой»,#DDDDDD,звук
Эвкалипт лимонный,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт лимонный»,#DDDDDD,звук
Эвкалипт радиата,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт радиата»,#DDDDDD,звук
Эвкалипт смити,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт смити»,#DDDDDD,звук
Эвкалипт глобулус,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт глобулус»,#DDDDDD,звук
Эвкалипт поливы,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт поливы»,#DDDDDD,звук
Ладан оманский,✨,Общее действие,Эмоциональное действие,«Мантра Ладан оманский»,#DDDDDD,звук
Ладан йеменский,✨,Общее действие,Эмоциональное действие,«Мантра Ладан йеменский»,#DDDDDD,звук
Мирра сладкая,✨,Общее действие,Эмоциональное действие,«Мантра Мирра сладкая»,#DDDDDD,звук
Мирра горькая,✨,Общее действие,Эмоциональное действие,«Мантра Мирра горькая»,#DDDDDD,звук
